artist,rank,song,year
Johnny Horton,1,The Battle of New Orleans,1959
Bobby Darin,2,Mack the Knife,1959
Lloyd Price,3,Personality,1959
Frankie Avalon,4,Venus,1959
Paul Anka,5,Lonely Boy,1959
Bobby Darin,6,Dream Lover,1959
The Browns,7,The Three Bells,1959
The Fleetwoods,8,Come Softly to Me,1959
Wilbert Harrison,9,Kansas City,1959
The Fleetwoods,10,Mr. Blue,1959
Santo &amp; Johnny,11,Sleep Walk,1959
Paul Anka,12,Put Your Head on My Shoulder,1959
Lloyd Price,13,Stagger Lee,1959
Ritchie Valens,14,Donna,1959
Dodie Stevens,15,Pink Shoe Laces,1959
The Platters,16,Smoke Gets in Your Eyes,1959
The Coasters,17,Charlie Brown,1959
Martin Denny,18,Quiet Village,1959
Carl Dobkins Jr.,19,My Heart Is an Open Book,1959
The Everly Brothers,20,(Till) I Kissed You,1959
Phil Phillips,21,Sea of Love,1959
"Dave ""Baby"" Cortez",22,The Happy Organ,1959
Lloyd Price,23,I'm Gonna Get Married,1959
The Impalas,24,Sorry (I Ran All the Way Home),1959
Dion and the Belmonts,25,A Teenager in Love,1959
The Crests,26,16 Candles,1959
Brook Benton,27,It's Just a Matter of Time,1959
Connie Francis,28,Lipstick on Your Collar,1959
The Drifters,29,There Goes My Baby,1959
Elvis Presley,30,A Big Hunk o' Love,1959
Johnny and the Hurricanes,31,Red River Rock,1959
Stonewall Jackson,32,Waterloo,1959
Sammy Turner,33,Lavender Blue,1959
Elvis Presley,34,(Now and Then There's) A Fool Such as I,1959
The Virtues,35,Guitar Boogie Shuffle,1959
Sandy Nelson,36,Teen Beat,1959
Edd Byrnes,37,"Kookie, Kookie (Lend Me Your Comb)",1959
Thomas Wayne,38,Tragedy,1959
Connie Francis,39,My Happiness,1959
Freddy Cannon,40,Tallahassee Lassie,1959
Fabian,41,Tiger,1959
Ricky Nelson,42,Never Be Anyone Else But You,1959
Della Reese,43,Don't You Know?,1959
Elvis Presley,44,I Need Your Love Tonight,1959
Dinah Washington,45,What a Diff'rence a Day Makes,1959
Bill Parsons,46,The All American Boy,1959
Jerry Wallace,47,Primrose Lane,1959
The Chipmunks,48,Alvin's Harmonica,1959
Andy Williams,49,Lonely Street,1959
Ray Charles,50,What'd I Say,1959
Sarah Vaughan,51,Broken Hearted Melody,1959
Franck Pourcel,52,Only You (And You Alone),1959
Billy Grammer,53,Gotta Travel On,1959
The Coasters,54,Poison Ivy,1959
Fabian,55,Turn Me Loose,1959
Jackie Wilson,56,Lonely Teardrops,1959
Andy Williams,57,Hawaiian Wedding Song,1959
Duane Eddy,58,Forty Miles of Bad Road,1959
Frankie Avalon,59,Just Ask Your Heart,1959
Travis and Bob,60,Tell Him No,1959
Connie Francis,61,Frankie,1959
The Bell Notes,62,I've Had It,1959
LaVern Baker,63,I Cried a Tear,1959
The Platters,64,Enchanted,1959
The Skyliners,65,Since I Don't Have You,1959
Ray Anthony,66,Peter Gunn Theme,1959
The Chipmunks,67,The Chipmunk Song (Christmas Don't Be Late),1959
Fats Domino,68,I Want to Walk You Home,1959
The Fiestas,69,So Fine,1959
Frankie Avalon,70,Bobby Sox to Stockings,1959
Wink Martindale,71,The Deck of Cards,1959
Clyde McPhatter,72,A Lover's Question,1959
The Flamingos,73,I Only Have Eyes for You,1959
Ricky Nelson,74,It's Late,1959
Chris Barber's Jazz Band,75,Petite Fleur,1959
Annette Funicello,76,Tall Paul,1959
The Kingston Trio,77,The Tijuana Jail,1959
Ricky Nelson,78,Just a Little Too Much,1959
Jack Scott,79,Goodbye Baby,1959
The Coasters,80,Along Came Jones,1959
Tommy Dee,81,Three Stars,1959
