rank,song,artist,year,nationality,country
1,The Battle of New Orleans,Johnny Horton,1959, United States,US
2,Mack the Knife,Bobby Darin,1959, U.S.,US
3,Personality,Lloyd Price,1959, U.S.,US
4,Venus,Frankie Avalon,1959, U.S.,US
5,Lonely Boy,Paul Anka,1959, Canada,Canada
6,Dream Lover,Bobby Darin,1959, U.S.,US
7,The Three Bells,The Browns,1959, United States,US
8,Come Softly to Me,The Fleetwoods,1959, United States,US
9,Kansas City,Wilbert Harrison,1959, North Carolina US,US
10,Mr. Blue,The Fleetwoods,1959, United States,US
11,Sleep Walk,Santo &amp; Johnny,1959, United States,US
12,Put Your Head on My Shoulder,Paul Anka,1959, Canada,Canada
13,Stagger Lee,Lloyd Price,1959, U.S.,US
14,Donna,Ritchie Valens,1959, U.S.,US
15,Pink Shoe Laces,Dodie Stevens,1959, U.S.,US
16,Smoke Gets in Your Eyes,The Platters,1959, United States,US
17,Charlie Brown,The Coasters,1959,United States,US
18,Quiet Village,Martin Denny,1959, U.S.,US
19,My Heart Is an Open Book,Carl Dobkins Jr.,1959, United States,US
20,(Till) I Kissed You,The Everly Brothers,1959, Iowa,US
21,Sea of Love,Phil Phillips,1959, U.S.,US
22,The Happy Organ,"Dave ""Baby"" Cortez",1959, Michigan,US
23,I'm Gonna Get Married,Lloyd Price,1959, U.S.,US
24,Sorry (I Ran All the Way Home),The Impalas,1959, U.S.,US
25,A Teenager in Love,Dion and the Belmonts,1959, New York City,US
26,16 Candles,The Crests,1959, United States,US
27,It's Just a Matter of Time,Brook Benton,1959, U.S.,US
28,Lipstick on Your Collar,Connie Francis,1959, U.S.,US
29,There Goes My Baby,The Drifters,1959, U.S.,US
30,A Big Hunk o' Love,Elvis Presley,1959, U.S.,US
31,Red River Rock,Johnny and the Hurricanes,1959, U.S.,US
32,Waterloo,Stonewall Jackson,1959, US,US
33,Lavender Blue,Sammy Turner,1959, U.S.,US
34,(Now and Then There's) A Fool Such as I,Elvis Presley,1959, U.S.,US
35,Guitar Boogie Shuffle,The Virtues,1959, U.S.,US
